No,docid,reg,postype,wordcat,wid,wcorresp,wstatus,lemma,word,metaphor,id,corresp,status,morph,order,type,mettext,DELMET,delmetadditionalinfo,nonmrw_mrw,eight_word_classes,register,widlii,del_nondel_widlii,six_word_classes,sid,pnum,snum,sindex,windex,wcount,scount,plen,slen,sentence_id,sentence
5631,a1j-fragment34,news,NN2,N,-,-,-,danger,dangers,mrw,-,-,-,n,-,met,dangers,0,,1,4,4,0,0,3,548,9,16,3,16,609,26,3,21,a1j-fragment34_16,"Mr Livingstone said he was against pacts, but 10 years of Thatcherism had demonstrated the dangers of giving power to elites."
5633,a1j-fragment34,news,VVG,V,-,-,-,give,giving,mrw,-,-,-,n,-,met,giving,0,,1,6,4,0,0,4,548,9,16,3,18,609,26,3,21,a1j-fragment34_16,"Mr Livingstone said he was against pacts, but 10 years of Thatcherism had demonstrated the dangers of giving power to elites."
5634,a1j-fragment34,news,NN1,N,-,-,-,power,power,mrw,-,-,-,n,-,met,power,0,,1,4,4,0,0,3,548,9,16,3,19,609,26,3,21,a1j-fragment34_16,"Mr Livingstone said he was against pacts, but 10 years of Thatcherism had demonstrated the dangers of giving power to elites."
5635,a1j-fragment34,news,PRP,PR,-,-,-,to,to,mrw,-,-,-,n,-,met,to,0,,1,5,4,0,0,5,548,9,16,3,20,609,26,3,21,a1j-fragment34_16,"Mr Livingstone said he was against pacts, but 10 years of Thatcherism had demonstrated the dangers of giving power to elites."
5655,a1j-fragment34,news,VVG,V,-,-,-,give,giving,mrw,-,-,-,n,-,met,giving,0,,1,6,4,0,0,4,550,10,18,2,4,609,26,4,15,a1j-fragment34_18,"Mr Hattersley said giving disproportionate power to small, minority centre parties would not improve democracy."
5657,a1j-fragment34,news,NN1,N,-,-,-,power,power,mrw,-,-,-,n,-,met,power,0,,1,4,4,0,0,3,550,10,18,2,6,609,26,4,15,a1j-fragment34_18,"Mr Hattersley said giving disproportionate power to small, minority centre parties would not improve democracy."
5658,a1j-fragment34,news,PRP,PR,-,-,-,to,to,mrw,-,-,-,n,-,met,to,0,,1,5,4,0,0,5,550,10,18,2,7,609,26,4,15,a1j-fragment34_18,"Mr Hattersley said giving disproportionate power to small, minority centre parties would not improve democracy."
5661,a1j-fragment34,news,NN1,N,-,-,-,centre,centre,mrw,-,-,-,n,-,met,centre,0,,1,4,4,0,0,3,550,10,18,2,10,609,26,4,15,a1j-fragment34_18,"Mr Hattersley said giving disproportionate power to small, minority centre parties would not improve democracy."
5678,a1j-fragment34,news,PRP,PR,-,-,-,in,in,mrw,-,-,-,n,-,met,in,0,,1,5,4,0,0,5,551,10,19,3,12,609,26,4,27,a1j-fragment34_19,Mr Kinnock said it was wrong to propose a fundamental change in the voting system for a short-term tactical vote to get rid of the Thatcher Government.
5681,a1j-fragment34,news,NN1,N,-,-,-,system,system,mrw,-,-,-,n,-,met,system,0,,1,4,4,0,0,3,551,10,19,3,15,609,26,4,27,a1j-fragment34_19,Mr Kinnock said it was wrong to propose a fundamental change in the voting system for a short-term tactical vote to get rid of the Thatcher Government.
5685,a1j-fragment34,news,AJ0,AJ,-,-,-,tactical,tactical,mrw,-,-,WIDLII,n,-,met,tactical,0,,1,1,4,0,0,1,551,10,19,3,19,609,26,4,27,a1j-fragment34_19,Mr Kinnock said it was wrong to propose a fundamental change in the voting system for a short-term tactical vote to get rid of the Thatcher Government.
5688,a1j-fragment34,news,VVI,V,-,-,-,get,get,mrw,-,-,-,n,-,met,get,0,,1,6,4,0,0,4,551,10,19,3,22,609,26,4,27,a1j-fragment34_19,Mr Kinnock said it was wrong to propose a fundamental change in the voting system for a short-term tactical vote to get rid of the Thatcher Government.
5696,a1j-fragment34,news,NN1,N,-,-,-,way,way,mrw,-,-,-,n,-,met,way,0,,1,4,4,0,0,3,552,10,20,4,3,609,26,4,16,a1j-fragment34_20,The only way to remove the Government was for Labour to win the next general election.
5698,a1j-fragment34,news,VVI,V,-,-,-,remove,remove,mrw,-,-,-,n,-,met,remove,0,,1,6,4,0,0,4,552,10,20,4,5,609,26,4,16,a1j-fragment34_20,The only way to remove the Government was for Labour to win the next general election.
5705,a1j-fragment34,news,VVI,V,-,-,-,win,win,mrw,-,-,PP,n,-,met,win,0,,1,6,4,0,0,4,552,10,20,4,12,609,26,4,16,a1j-fragment34_20,The only way to remove the Government was for Labour to win the next general election.
5714,a1j-fragment34,news,VVI,V,-,-,-,reinforce,reinforce,mrw,-,-,-,n,-,met,reinforce,0,,1,6,4,0,0,4,553,11,21,1,5,609,26,4,20,a1j-fragment34_21,Mr Kinnock intends to reinforce his conviction that Labour is in a position to win in his keynote speech tomorrow.
5716,a1j-fragment34,news,NN1,N,-,-,-,conviction,conviction,mrw,-,-,WIDLII,n,-,met,conviction,0,,1,4,4,0,0,3,553,11,21,1,7,609,26,4,20,a1j-fragment34_21,Mr Kinnock intends to reinforce his conviction that Labour is in a position to win in his keynote speech tomorrow.
5720,a1j-fragment34,news,PRP,PR,-,-,-,in,in,mrw,-,-,-,n,-,met,in,0,,1,5,4,0,0,5,553,11,21,1,11,609,26,4,20,a1j-fragment34_21,Mr Kinnock intends to reinforce his conviction that Labour is in a position to win in his keynote speech tomorrow.
5722,a1j-fragment34,news,NN1,N,-,-,-,position,position,mrw,-,-,-,n,-,met,position,0,,1,4,4,0,0,3,553,11,21,1,13,609,26,4,20,a1j-fragment34_21,Mr Kinnock intends to reinforce his conviction that Labour is in a position to win in his keynote speech tomorrow.
5724,a1j-fragment34,news,VVI,V,-,-,-,win,win,mrw,-,-,PP,n,-,met,win,0,,1,6,4,0,0,4,553,11,21,1,15,609,26,4,20,a1j-fragment34_21,Mr Kinnock intends to reinforce his conviction that Labour is in a position to win in his keynote speech tomorrow.
5725,a1j-fragment34,news,PRP-AVP,PR,-,-,-,in,in,mrw,-,-,-,n,-,met,in,0,,1,5,4,0,0,5,553,11,21,1,16,609,26,4,20,a1j-fragment34_21,Mr Kinnock intends to reinforce his conviction that Labour is in a position to win in his keynote speech tomorrow.
5736,a1j-fragment34,news,VVI,V,-,-,-,show,show,mrw,-,-,-,n,-,met,show,0,,1,6,4,0,0,4,554,11,22,2,7,609,26,4,34,a1j-fragment34_22,"Party organisers want the conference to show that the party is united as never before, leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about splits."
5744,a1j-fragment34,news,AV0,AV,-,-,-,before,before,mrw,-,-,-,n,-,met,before,0,,1,2,4,0,0,2,554,11,22,2,15,609,26,4,34,a1j-fragment34_22,"Party organisers want the conference to show that the party is united as never before, leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about splits."
5745,a1j-fragment34,news,VVG,V,-,-,-,leave,leaving,mrw,-,-,-,n,-,met,leaving,0,,1,6,4,0,0,4,554,11,22,2,16,609,26,4,34,a1j-fragment34_22,"Party organisers want the conference to show that the party is united as never before, leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about splits."
5748,a1j-fragment34,news,AJ0,AJ,-,-,-,free,free,mrw,-,-,-,n,-,met,free,0,,1,1,4,0,0,1,554,11,22,2,19,609,26,4,34,a1j-fragment34_22,"Party organisers want the conference to show that the party is united as never before, leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about splits."
5754,a1j-fragment34,news,VVI,V,-,-,-,sell,sell,mrw,-,-,-,n,-,met,sell,0,,1,6,4,0,0,4,554,11,22,2,25,609,26,4,34,a1j-fragment34_22,"Party organisers want the conference to show that the party is united as never before, leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about splits."
5757,a1j-fragment34,news,NN1,N,-,-,-,package,package,mrw,-,-,-,n,-,met,package,0,,1,4,4,0,0,3,554,11,22,2,28,609,26,4,34,a1j-fragment34_22,"Party organisers want the conference to show that the party is united as never before, leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about splits."
5758,a1j-fragment34,news,PRP,PR,-,-,-,to,to,mrw,-,-,-,n,-,met,to,0,,1,5,4,0,0,5,554,11,22,2,29,609,26,4,34,a1j-fragment34_22,"Party organisers want the conference to show that the party is united as never before, leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about splits."
5760,a1j-fragment34,news,PRP,PR,-,-,-,without,without,mrw,-,-,-,n,-,met,without,0,,1,5,4,0,0,5,554,11,22,2,31,609,26,4,34,a1j-fragment34_22,"Party organisers want the conference to show that the party is united as never before, leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about splits."
5762,a1j-fragment34,news,PRP,PR,-,-,-,about,about,mrw,-,-,-,n,-,met,about,0,,1,5,4,0,0,5,554,11,22,2,33,609,26,4,34,a1j-fragment34_22,"Party organisers want the conference to show that the party is united as never before, leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about splits."
5763,a1j-fragment34,news,NN2,N,-,-,-,split,splits,mrw,-,-,-,n,-,met,splits,0,,1,4,4,0,0,3,554,11,22,2,34,609,26,4,34,a1j-fragment34_22,"Party organisers want the conference to show that the party is united as never before, leaving Mr Kinnock free for the first time to sell the policy package to voters without worrying about splits."
5770,a1j-fragment34,news,AJ0,AJ,-,-,-,close,close,mrw,-,-,-,n,-,met,close,0,,1,1,4,0,0,1,555,11,23,3,7,609,26,4,22,a1j-fragment34_23,"There is expected to be a close vote on defence, but Mr Kinnock is confident the new policy will be affirmed today."
5772,a1j-fragment34,news,PRP,PR,-,-,-,on,on,mrw,-,-,-,n,-,met,on,0,,1,5,4,0,0,5,555,11,23,3,9,609,26,4,22,a1j-fragment34_23,"There is expected to be a close vote on defence, but Mr Kinnock is confident the new policy will be affirmed today."
5789,a1j-fragment34,news,VVG,V,-,-,-,recommend,recommending,mrw,-,-,PP,n,-,met,recommending,0,,1,6,4,0,0,4,556,11,24,4,4,609,26,4,12,a1j-fragment34_24,The executive is recommending rejection of a motion calling for unilateral disarmament.
5794,a1j-fragment34,news,VVG,V,-,-,-,call,calling,mrw,-,-,PP,n,-,met,calling,0,,1,6,4,0,0,4,556,11,24,4,9,609,26,4,12,a1j-fragment34_24,The executive is recommending rejection of a motion calling for unilateral disarmament.
5801,a1j-fragment34,news,VVG,V,-,-,-,urge,urging,mrw,-,-,double,n,-,met,urging,0,,1,6,4,0,0,4,557,12,25,1,4,609,26,1,30,a1j-fragment34_25,"It is also urging the conference to oppose a motion, supported by the National Union of Mineworkers, to commit a Labour government to abolishing all nuclear power within 15 years."
5805,a1j-fragment34,news,VVI,V,-,-,-,oppose,oppose,mrw,-,-,PP,n,-,met,oppose,0,,1,6,4,0,0,4,557,12,25,1,8,609,26,1,30,a1j-fragment34_25,"It is also urging the conference to oppose a motion, supported by the National Union of Mineworkers, to commit a Labour government to abolishing all nuclear power within 15 years."
5808,a1j-fragment34,news,VVN,V,-,-,-,support,supported,mrw,-,-,double,n,-,met,supported,0,,1,6,4,0,0,4,557,12,25,1,11,609,26,1,30,a1j-fragment34_25,"It is also urging the conference to oppose a motion, supported by the National Union of Mineworkers, to commit a Labour government to abolishing all nuclear power within 15 years."
5816,a1j-fragment34,news,VVI,V,-,-,-,commit,commit,mrw,-,-,-,n,-,met,commit,0,,1,6,4,0,0,4,557,12,25,1,19,609,26,1,30,a1j-fragment34_25,"It is also urging the conference to oppose a motion, supported by the National Union of Mineworkers, to commit a Labour government to abolishing all nuclear power within 15 years."
5820,a1j-fragment34,news,PRP,PR,-,-,-,to,to,mrw,-,-,-,n,-,met,to,0,,1,5,4,0,0,5,557,12,25,1,23,609,26,1,30,a1j-fragment34_25,"It is also urging the conference to oppose a motion, supported by the National Union of Mineworkers, to commit a Labour government to abolishing all nuclear power within 15 years."
5824,a1j-fragment34,news,NN1,N,-,-,-,power,power,mrw,-,-,-,n,-,met,power,0,,1,4,4,0,0,3,557,12,25,1,27,609,26,1,30,a1j-fragment34_25,"It is also urging the conference to oppose a motion, supported by the National Union of Mineworkers, to commit a Labour government to abolishing all nuclear power within 15 years."
5825,a1j-fragment34,news,PRP,PR,-,-,-,within,within,mrw,-,-,-,n,-,met,within,0,,1,5,4,0,0,5,557,12,25,1,28,609,26,1,30,a1j-fragment34_25,"It is also urging the conference to oppose a motion, supported by the National Union of Mineworkers, to commit a Labour government to abolishing all nuclear power within 15 years."
5833,a1j-fragment34,news,PRP,PR,-,-,-,over,over,mrw,-,-,-,n,-,met,over,0,,1,5,4,0,0,5,558,13,26,1,6,609,26,1,25,a1j-fragment34_26,There could also be controversy over the executive's rejection of demands for the age of consent for homosexuals to be reduced to 16 years.
5837,a1j-fragment34,news,NN1,N,-,-,-,rejection,rejection,mrw,-,-,-,n,-,met,rejection,0,,1,4,4,0,0,3,558,13,26,1,10,609,26,1,25,a1j-fragment34_26,There could also be controversy over the executive's rejection of demands for the age of consent for homosexuals to be reduced to 16 years.
5849,a1j-fragment34,news,VVN,V,-,-,-,reduce,reduced,mrw,-,-,-,n,-,met,reduced,0,,1,6,4,0,0,4,558,13,26,1,22,609,26,1,25,a1j-fragment34_26,There could also be controversy over the executive's rejection of demands for the age of consent for homosexuals to be reduced to 16 years.
5850,a1j-fragment34,news,PRP,PR,-,-,-,to,to,mrw,-,-,-,n,-,met,to,0,,1,5,4,0,0,5,558,13,26,1,23,609,26,1,25,a1j-fragment34_26,There could also be controversy over the executive's rejection of demands for the age of consent for homosexuals to be reduced to 16 years.
34974,a8u-fragment14,news,AJ0,AJ,-,-,-,confident,confident,mrw,-,-,PP,n,-,met,confident,0,,1,1,4,0,0,1,316,1,1,1,2,838,49,1,2,a8u-fragment14_1,Tiphook confident.
34976,a8u-fragment14,news,NN1,N,-,-,-,group,group,mrw,-,-,-,n,-,met,group,0,,1,4,4,0,0,3,317,2,2,1,2,838,49,1,29,a8u-fragment14_2,Container group Tiphook yesterday said it was still confident of winning its joint £ 643 million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.
34979,a8u-fragment14,news,VVD,V,-,-,-,say,said,mrw,-,-,PP,n,-,met,said,0,,1,6,4,0,0,4,317,2,2,1,5,838,49,1,29,a8u-fragment14_2,Container group Tiphook yesterday said it was still confident of winning its joint £ 643 million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.
34983,a8u-fragment14,news,AJ0,AJ,-,-,-,confident,confident,mrw,-,-,PP,n,-,met,confident,0,,1,1,4,0,0,1,317,2,2,1,9,838,49,1,29,a8u-fragment14_2,Container group Tiphook yesterday said it was still confident of winning its joint £ 643 million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.
34985,a8u-fragment14,news,VVG,V,-,-,-,win,winning,mrw,-,-,double,n,-,met,winning,0,,1,6,4,0,0,4,317,2,2,1,11,838,49,1,29,a8u-fragment14_2,Container group Tiphook yesterday said it was still confident of winning its joint £ 643 million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.
34987,a8u-fragment14,news,AJ0,AJ,-,-,-,joint,joint,mrw,-,-,PP,n,-,met,joint,0,,1,1,4,0,0,1,317,2,2,1,13,838,49,1,29,a8u-fragment14_2,Container group Tiphook yesterday said it was still confident of winning its joint £ 643 million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.
34989,a8u-fragment14,news,NN1,N,-,-,-,bid,bid,mrw,-,-,PP,n,-,met,bid,0,,1,4,4,0,0,3,317,2,2,1,15,838,49,1,29,a8u-fragment14_2,Container group Tiphook yesterday said it was still confident of winning its joint £ 643 million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.
34995,a8u-fragment14,news,NN1,N,-,-,-,battle,battle,mrw,-,-,-,n,-,met,battle,0,,1,4,4,0,0,3,317,2,2,1,21,838,49,1,29,a8u-fragment14_2,Container group Tiphook yesterday said it was still confident of winning its joint £ 643 million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.
34997,a8u-fragment14,news,VVN,V,-,-,-,swing,swung,mrw,-,-,-,n,-,met,swung,0,,1,6,4,0,0,4,317,2,2,1,23,838,49,1,29,a8u-fragment14_2,Container group Tiphook yesterday said it was still confident of winning its joint £ 643 million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.
34998,a8u-fragment14,news,PRP,PR,-,-,-,towards,towards,mrw,-,-,-,n,-,met,towards,0,,1,5,4,0,0,5,317,2,2,1,24,838,49,1,29,a8u-fragment14_2,Container group Tiphook yesterday said it was still confident of winning its joint £ 643 million bid for Sea Containers even though the battle has swung towards James Sherwood's ferries-to-trailers combine.
35006,a8u-fragment14,news,PRP,PR,-,-,-,from,from,mrw,-,-,-,n,-,met,from,0,,1,5,4,0,0,5,318,3,3,1,3,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35010,a8u-fragment14,news,VVN,V,-,-,-,form,formed,mrw,-,-,-,n,-,met,formed,0,,1,6,4,0,0,4,318,3,3,1,7,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35018,a8u-fragment14,news,NN1,N,-,-,-,subject,subject,mrw,-,-,-,n,-,met,subject,0,,1,4,4,0,0,3,318,3,3,1,15,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35022,a8u-fragment14,news,PRP,PR,-,-,-,in,in,mrw,-,-,-,n,-,met,in,0,,1,5,4,0,0,5,318,3,3,1,19,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35028,a8u-fragment14,news,VVN,V,-,-,-,aim,aimed,mrw,-,-,-,n,-,met,aimed,0,,1,6,4,0,0,4,318,3,3,1,25,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35029,a8u-fragment14,news,PRP,PR,-,-,-,at,at,mrw,-,-,-,n,-,met,at,0,,1,5,4,0,0,5,318,3,3,1,26,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35030,a8u-fragment14,news,VVG,V,-,-,-,overturn,overturning,mrw,-,-,-,n,-,met,overturning,0,,1,6,4,0,0,4,318,3,3,1,27,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35034,a8u-fragment14,news,VVG,V,-,-,-,allow,allowing,mrw,-,-,PP,n,-,met,allowing,0,,1,6,4,0,0,4,318,3,3,1,31,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35037,a8u-fragment14,news,VVI,V,-,-,-,proceed,proceed,mrw,-,-,double,n,-,met,proceed,0,,1,6,4,0,0,4,318,3,3,1,34,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35038,a8u-fragment14,news,PRP,PR,-,-,-,with,with,mrw,-,-,-,n,-,met,with,0,,1,5,4,0,0,5,318,3,3,1,35,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35040,a8u-fragment14,news,NN1,N,-,-,-,poison,poison,mrw,-,-,-,n,-,met,poison,0,,1,4,4,0,0,3,318,3,3,1,37,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35041,a8u-fragment14,news,NN1,N,-,-,-,pill,pill,mrw,-,-,-,n,-,met,pill,0,,1,4,4,0,0,3,318,3,3,1,38,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35042,a8u-fragment14,news,NN1,N,-,-,-,defence,defence,mrw,-,-,-,n,-,met,defence,0,,1,4,4,0,0,3,318,3,3,1,39,838,49,1,39,a8u-fragment14_3,The offer from the Anglo-Swedish consortium formed by Tiphook and Stena AB is the subject of an appeal in the Bermudan courts which is aimed at overturning an earlier ruling allowing SeaCo to proceed with its “poison pill” defence.
35046,a8u-fragment14,news,VVD,V,-,-,-,unveil,unveiled,mrw,-,-,double,n,-,met,unveiled,0,,1,6,4,0,0,4,319,4,4,1,4,838,49,2,26,a8u-fragment14_4,"Tiphook, which yesterday unveiled a 124 percent increase in half year profits to £ 10 million, hopes the court will block SeaCo's purchases of its own shares."
35051,a8u-fragment14,news,PRP,PR,-,-,-,in,in,mrw,-,-,-,n,-,met,in,0,,1,5,4,0,0,5,319,4,4,1,9,838,49,2,26,a8u-fragment14_4,"Tiphook, which yesterday unveiled a 124 percent increase in half year profits to £ 10 million, hopes the court will block SeaCo's purchases of its own shares."
35055,a8u-fragment14,news,PRP,PR,-,-,-,to,to,mrw,-,-,-,n,-,met,to,0,,1,5,4,0,0,5,319,4,4,1,13,838,49,2,26,a8u-fragment14_4,"Tiphook, which yesterday unveiled a 124 percent increase in half year profits to £ 10 million, hopes the court will block SeaCo's purchases of its own shares."
35057,a8u-fragment14,news,VVZ,V,-,-,-,hope,hopes,mrw,-,-,PP,n,-,met,hopes,0,,1,6,4,0,0,4,319,4,4,1,15,838,49,2,26,a8u-fragment14_4,"Tiphook, which yesterday unveiled a 124 percent increase in half year profits to £ 10 million, hopes the court will block SeaCo's purchases of its own shares."
35061,a8u-fragment14,news,VVI,V,-,-,-,block,block,mrw,-,-,-,n,-,met,block,0,,1,6,4,0,0,4,319,4,4,1,19,838,49,2,26,a8u-fragment14_4,"Tiphook, which yesterday unveiled a 124 percent increase in half year profits to £ 10 million, hopes the court will block SeaCo's purchases of its own shares."
35073,a8u-fragment14,news,AJ0,AJ,-,-,-,able,able,mrw,-,-,PP,n,-,met,able,0,,1,1,4,0,0,1,320,4,5,2,5,838,49,2,31,a8u-fragment14_5,"Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully considered."
35075,a8u-fragment14,news,VVI,V,-,-,-,muster,muster,mrw,-,-,double,n,-,met,muster,0,,1,6,4,0,0,4,320,4,5,2,7,838,49,2,31,a8u-fragment14_5,"Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully considered."
35077,a8u-fragment14,news,NN1-VVB,N,-,-,-,support,support,mrw,-,-,-,n,-,met,support,0,,1,4,4,0,0,3,320,4,5,2,9,838,49,2,31,a8u-fragment14_5,"Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully considered."
35078,a8u-fragment14,news,PRP,PR,-,-,-,from,from,mrw,-,-,-,n,-,met,from,0,,1,5,4,0,0,5,320,4,5,2,10,838,49,2,31,a8u-fragment14_5,"Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully considered."
35082,a8u-fragment14,news,VVI,V,-,-,-,halt,halt,mrw,-,-,-,n,-,met,halt,0,,1,6,4,0,0,4,320,4,5,2,14,838,49,2,31,a8u-fragment14_5,"Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully considered."
35093,a8u-fragment14,news,NN1,N,-,-,-,bid,bid,mrw,-,-,PP,n,-,met,bid,0,,1,4,4,0,0,3,320,4,5,2,25,838,49,2,31,a8u-fragment14_5,"Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully considered."
35094,a8u-fragment14,news,PRP,PR,-,-,-,with,with,mrw,-,-,-,n,-,met,with,0,,1,5,4,0,0,5,320,4,5,2,26,838,49,2,31,a8u-fragment14_5,"Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully considered."
35099,a8u-fragment14,news,VVN,V,-,-,-,consider,considered,mrw,-,-,-,n,-,met,considered,0,,1,6,4,0,0,4,320,4,5,2,31,838,49,2,31,a8u-fragment14_5,"Alternatively, it may be able to muster enough support from SeaCo shareholders to halt the current disposal of assets by Mr Sherwood for its bid with Stena to be fully considered."
35105,a8u-fragment14,news,PRP,PR,-,-,-,to,to,mrw,-,-,-,n,-,met,to,0,,1,5,4,0,0,5,321,5,6,1,6,838,49,1,24,a8u-fragment14_6,"The cost of the bid to Tiphook is put at £ 2 million, which it says will have only a minor impact on full year results."
35108,a8u-fragment14,news,VVN,V,-,-,-,put,put,mrw,-,-,-,n,-,met,put,0,,1,6,4,0,0,4,321,5,6,1,9,838,49,1,24,a8u-fragment14_6,"The cost of the bid to Tiphook is put at £ 2 million, which it says will have only a minor impact on full year results."
35109,a8u-fragment14,news,PRP,PR,-,-,-,at,at,mrw,-,-,-,n,-,met,at,0,,1,5,4,0,0,5,321,5,6,1,10,838,49,1,24,a8u-fragment14_6,"The cost of the bid to Tiphook is put at £ 2 million, which it says will have only a minor impact on full year results."
35113,a8u-fragment14,news,VVZ,V,-,-,-,say,says,mrw,-,-,PP,n,-,met,says,0,,1,6,4,0,0,4,321,5,6,1,14,838,49,1,24,a8u-fragment14_6,"The cost of the bid to Tiphook is put at £ 2 million, which it says will have only a minor impact on full year results."
35115,a8u-fragment14,news,VHI,V,-,-,-,have,have,mrw,-,-,-,n,-,met,have,0,,1,6,4,0,0,4,321,5,6,1,16,838,49,1,24,a8u-fragment14_6,"The cost of the bid to Tiphook is put at £ 2 million, which it says will have only a minor impact on full year results."
35119,a8u-fragment14,news,NN1,N,-,-,-,impact,impact,mrw,-,-,-,n,-,met,impact,0,,1,4,4,0,0,3,321,5,6,1,20,838,49,1,24,a8u-fragment14_6,"The cost of the bid to Tiphook is put at £ 2 million, which it says will have only a minor impact on full year results."
35120,a8u-fragment14,news,PRP,PR,-,-,-,on,on,mrw,-,-,-,n,-,met,on,0,,1,5,4,0,0,5,321,5,6,1,21,838,49,1,24,a8u-fragment14_6,"The cost of the bid to Tiphook is put at £ 2 million, which it says will have only a minor impact on full year results."
35121,a8u-fragment14,news,AJ0,AJ,-,-,-,full,full,mrw,-,-,-,n,-,met,full,0,,1,1,4,0,0,1,321,5,6,1,22,838,49,1,24,a8u-fragment14_6,"The cost of the bid to Tiphook is put at £ 2 million, which it says will have only a minor impact on full year results."
35138,a8u-fragment14,news,VVN,V,-,-,-,help,helped,mrw,-,-,-,n,-,met,helped,0,,1,6,4,0,0,4,322,6,7,1,15,838,49,3,19,a8u-fragment14_7,"Increased demand for its road, rail and sea container fleets during the first half helped boost the latest figures."
